max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,score,f1,nmae
5,0.07,0.85,0.9,0.05,0.6,0.6304960020598669,0.8120063191153238,0.6417694735233185
6,0.08,0.8,0.9,0.03,0.4,0.630487986985408,0.8120063191153238,0.6417895112094658
5,0.07,0.9,0.85,0.05,0.6,0.6304398557479005,0.8120063191153238,0.6419098393032344
5,0.07,0.9,0.8,0.05,0.6,0.6304398557479005,0.8120063191153238,0.6419098393032344
5,0.07,0.9,0.8,0.03,0.6,0.6304392741911249,0.8120063191153238,0.6419112931951736
5,0.07,0.9,0.85,0.03,0.6,0.6304392741911249,0.8120063191153238,0.6419112931951736
7,0.08,0.8,0.8,0.03,0.5,0.6304366545009548,0.8120063191153238,0.6419178424205989
7,0.08,0.8,0.85,0.03,0.5,0.6304366545009548,0.8120063191153238,0.6419178424205989
6,0.09,0.85,0.85,0.03,0.5,0.6304152379083626,0.8120063191153238,0.6419713839020791
6,0.09,0.85,0.8,0.03,0.5,0.6304152379083626,0.8120063191153238,0.6419713839020791
6,0.08,0.85,0.9,0.05,0.6,0.6304102145323481,0.8120063191153238,0.6419839423421153
6,0.09,0.8,0.8,0.05,0.5,0.6304031218309252,0.8120063191153238,0.6420016740956728
6,0.09,0.8,0.85,0.05,0.5,0.6304031218309252,0.8120063191153238,0.6420016740956728
7,0.09,0.8,0.9,0.05,0.4,0.6304030318305469,0.8120063191153238,0.6420018990966184
5,0.07,0.85,0.9,0.03,0.5,0.6303931832348496,0.8120063191153238,0.6420265205858617
6,0.07,0.85,0.9,0.07,0.4,0.6303507017123919,0.8120063191153238,0.6421327243920059
5,0.07,0.9,0.85,0.03,0.5,0.6302890044397597,0.8120063191153238,0.6422869675735866
5,0.07,0.9,0.8,0.03,0.5,0.6302890044397597,0.8120063191153238,0.6422869675735866
6,0.07,0.8,0.85,0.03,0.5,0.6302599024934727,0.8120063191153238,0.6423597224393038
6,0.07,0.8,0.8,0.03,0.5,0.6302599024934727,0.8120063191153238,0.6423597224393038
6,0.07,0.9,0.9,0.03,0.6,0.6302145128626244,0.8120063191153238,0.6424731965164245
7,0.07,0.9,0.8,0.05,0.5,0.6301635691827655,0.8120063191153238,0.642600555716072
7,0.07,0.9,0.85,0.05,0.5,0.6301635691827655,0.8120063191153238,0.642600555716072
5,0.07,0.9,0.85,0.07,0.6,0.630117932905703,0.8120063191153238,0.6427146464087284
5,0.07,0.9,0.8,0.07,0.6,0.630117932905703,0.8120063191153238,0.6427146464087284
7,0.07,0.85,0.9,0.03,0.5,0.6301149580365637,0.8120063191153238,0.6427220835815763
6,0.07,0.8,0.9,0.07,0.6,0.630102241724156,0.8120063191153238,0.6427538743625958
7,0.07,0.9,0.85,0.03,0.6,0.6300930929184924,0.8120063191153238,0.6427767463767547
7,0.07,0.9,0.8,0.03,0.6,0.6300930929184924,0.8120063191153238,0.6427767463767547
6,0.08,0.8,0.85,0.07,0.4,0.6300746464696066,0.8120063191153238,0.6428228624989691
6,0.08,0.8,0.8,0.07,0.4,0.6300746464696066,0.8120063191153238,0.6428228624989691
6,0.09,0.8,0.9,0.03,0.4,0.6300557485698837,0.8120063191153238,0.6428701072482764
6,0.08,0.85,0.9,0.05,0.4,0.630041534133915,0.8120063191153238,0.6429056433381984
5,0.07,0.8,0.9,0.03,0.6,0.630031897262544,0.8120063191153238,0.6429297355166257
